23162,Cereté,23,8.916667,-76.000000
15162,Cerinza,15,6.000000,-72.916667
68162,Cerrito,68,7.000000,-72.583334
47161,Cerro San Antonio,47,10.250000,-74.833334
52240,Chachaguí,52,1.359431,-77.283669
25168,Chaguaní,25,5.000000,-74.650000
70230,Chalán,70,9.549167,-75.316112
73168,Chaparral,73,3.750000,-75.583334
68167,Charalá,68,6.250000,-73.083334
68169,Charta,68,7.300000,-72.966667
05172,Chigorodó,05,7.666667,-76.666667
68176,Chima,68,6.416667,-73.333334
20175,Chimichagua,20,9.257778,-73.817778
23168,Chimá,23,9.083334,-75.633334
15172,Chinavita,15,5.250000,-73.333334
17174,Chinchiná,17,5.000000,-75.666667
54172,Chinácota,54,7.750000,-72.550000
23182,Chinú,23,9.083334,-75.333334
25178,Chipaque,25,4.500000,-74.083334
68179,Chipatá,68,6.133334,-73.550000
15176,Chiquinquirá,15,5.633334,-73.750000
20178,Chiriguaná,20,9.500000,-73.416667
15180,Chiscas,15,6.750000,-72.333334
15183,Chita,15,6.166667,-72.416667
54174,Chitagá,54,7.166667,-72.583334
15185,Chitaraque,15,6.083334,-73.366667
15187,Chivatá,15,5.533334,-73.266667
47170,Chivolo,47,10.028056,-74.643612
25181,Choachí,25,4.583334,-73.916667
25183,Chocontá,25,5.166667,-73.666667
85015,Chámeza,85,5.000000,-72.750000
25175,Chía,25,4.916667,-74.050000
15232,Chíquiza,15,5.608334,-73.488612
15236,Chívor,15,4.885556,-73.368889
13188,Cicuco,13,9.416667,-74.733334
68190,Cimitarra,68,6.316112,-73.950556
63190,Circasia,63,4.616667,-75.633334
05190,Cisneros,05,6.583334,-75.083334
15189,Ciénaga,15,5.466667,-73.250000
47189,Ciénaga,47,10.833334,-74.083334
23189,Ciénaga de Oro,23,8.833334,-75.666667
13222,Clemencia,13,10.589167,-75.334167
05197,Cocorná,05,6.000000,-75.000000
73200,Coello,73,4.333334,-74.916667
25200,Cogua,25,5.150000,-73.966667
41206,Colombia,41,2.500000,-75.750000
70204,Colosó (Ricaurte),70,9.496667,-75.355556
86219,Colón,86,1.193612,-76.976945
52203,Colón (Génova),52,1.583334,-77.000000
05206,Concepción,05,6.416667,-75.250000
68207,Concepción,68,6.916667,-72.500000
05209,Concordia,05,6.083334,-75.916667
47205,Concordia,47,9.840278,-74.444723
27205,Condoto,27,5.166667,-76.500000
68209,Confines,68,6.416667,-73.166667
52207,Consaca,52,1.208407,-77.463227
52210,Contadero,52,0.916667,-77.533334
68211,Contratación,68,6.333334,-73.416667
54206,Convención,54,8.833334,-73.200000
05212,Copacabana,05,6.333334,-75.500000
15212,Coper,15,5.433334,-74.033334
63212,Cordobá,63,4.390556,-75.688889
19212,Corinto,19,3.166667,-76.200000
68217,Coromoro,68,6.333334,-73.000000
70215,Corozal,70,9.333334,-75.250000
15215,Corrales,15,5.866667,-72.833334
25214,Cota,25,4.833334,-74.133334
23300,Cotorra,23,9.050000,-75.800000
15218,Covarachía,15,6.583334,-72.700000
70221,Coveñas,70,9.416667,-75.700000
73217,Coyaima,73,3.833334,-75.083334
81220,Cravo Norte,81,6.303056,-70.201667
52224,Cuaspud (Carlosama),52,0.865834,-77.729445
50223,Cubarral,50,3.771389,-73.837778
15223,Cubará,15,7.041112,-72.060834
15224,Cucaita,15,5.533334,-73.466667
25224,Cucunubá,25,5.250000,-73.750000
54223,Cucutilla,54,7.500000,-72.750000
15226,Cuitiva,15,5.650000,-72.916667
50226,Cumaral,50,4.250000,-73.333334
99773,Cumaribo,99,4.444445,-69.800278
52227,Cumbal,52,0.916667,-77.916667
52233,Cumbitara,52,1.653334,-77.583334
73226,Cunday,73,4.083334,-74.666667
18205,Curillo,18,1.035278,-75.924723
68229,Curití,68,6.666667,-73.000000
20228,Curumaní,20,9.204167,-73.548612
05120,Cáceres,05,7.666667,-75.333334
54128,Cáchira,54,7.750000,-73.166667
54125,Cácota,54,7.250000,-72.583334
25151,Cáqueza,25,4.450000,-73.950000
27160,Cértegui,27,5.400000,-76.600000
15204,Cómbita,15,5.750000,-73.250000
13212,Córdoba,13,9.500000,-74.916667
52215,Córdoba,52,0.783334,-77.333334
54001,Cúcuta,54,7.883334,-72.505278
05234,Dabeiba,05,7.000000,-76.250000
76233,Dagua,76,3.660278,-76.692778
44090,Dibulla,44,11.272223,-73.305556
44098,Distracción,44,10.897778,-72.886945
73236,Dolores,73,3.666667,-74.750000
05237,Don Matías,05,6.500000,-75.333334
66170,Dos Quebradas,66,4.834723,-75.672500
15238,Duitama,15,5.826945,-73.020278
54239,Durania,54,7.750000,-72.633334
05240,Ebéjico,05,6.333334,-75.750000
05250,El Bagre,05,7.594167,-74.811945
47245,El Banco,47,9.045556,-73.974723
76246,El Cairo,76,4.750000,-76.250000
50245,El Calvario,50,4.416667,-73.666667
54245,El Carmen,54,8.750000,-73.333334
68235,El Carmen,68,6.000000,698.000000
27245,El Carmen de Atrato,27,5.898333,-76.143056
13244,El Carmen de Bolívar,13,9.750000,-75.166667
50251,El Castillo,50,3.568056,-73.783889
76248,El Cerrito,76,3.666667,-76.166667
52250,El Charco,52,2.333334,-78.350000
15244,El Cocuy,15,6.416667,-72.416667
25245,El Colegio,25,4.583334,-74.450000
20238,El Copey,20,10.150556,-73.965000
18247,El Doncello,18,1.679445,-75.279167
50270,El Dorado,50,2.779167,-72.871945
76250,El Dovio,76,4.500000,-76.250000
15248,El Espino,15,6.583334,-72.416667
68245,El Guacamayo,68,6.333334,-73.466667
13248,El Guamo,13,10.083334,-74.916667
44110,El Molino,44,10.653334,-72.924167
20250,El Paso,20,9.662223,-73.751945
18256,El Paujil,18,1.564000,-75.332000
52254,El Peñol,52,1.433334,-77.433334
13268,El Peñon,13,8.983334,-73.950000
68250,El Peñon,68,6.550000,-72.833334
25258,El Peñón,25,5.333334,-74.333334
47258,El Piñon,47,10.333334,-74.666667
68255,El Playón,68,7.476667,-73.208056
95025,El Retorno,95,2.330556,-72.627778
47268,El Retén,47,10.616667,-74.266667
70233,El Roble,70,9.100000,-75.200000
25260,El Rosal,25,4.850000,-74.266667
52256,El Rosario,52,1.833334,-77.333334
52258,El Tablón de Gómez,52,1.426944,-77.096944
19256,El Tambo,19,2.500000,-77.000000
52260,El Tambo,52,1.400000,-77.333334
54250,El Tarra,54,8.584723,-73.088334
54261,El Zulia,54,7.935556,-72.605000
76243,El Águila,76,4.916667,-76.083334
41244,Elías,41,2.083334,-76.000000
68264,Encino,68,6.166667,-73.000000
68266,Enciso,68,6.750000,-72.633334
05264,Entrerríos,05,6.583334,-75.583334
05266,Envigado,05,6.173056,-75.563889
73268,Espinal,73,4.200000,-74.833334
25269,Facatativá,25,4.816667,-74.366667
73270,Falan,73,5.133334,-75.000000
17272,Filadelfia,17,5.300000,-75.600000
63272,Filandia,63,4.666667,-75.633334
15272,Firavitoba,15,5.750000,-72.966667
73275,Flandes,73,4.250000,-74.833334
18001,Florencia,18,1.617500,-75.617500
19290,Florencia,19,1.694445,-77.075834
15276,Floresta,15,5.916667,-72.916667
76275,Florida,76,3.327500,-76.238612
68276,Floridablanca,68,7.064723,-73.089723
68271,Florián,68,5.804723,-73.974167
44279,Fonseca,44,10.833334,-72.833334
81300,Fortúl,81,6.746112,-71.856667
25281,Fosca,25,4.333334,-73.916667
52520,Francisco Pizarro,52,2.101945,-78.721667
05282,Fredonia,05,5.916667,-75.666667
73283,Fresno,73,5.166667,-75.083334
05284,Frontino,05,6.666667,-76.333334
